Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds)
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700.0,210.0,"[937.1428571428571, 1939.5]","[999, 1999]",1.0,60.678571428571445,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700.0,280.0,"[937.1428571428571, 1939.5]","[999, 1999]",1.0,60.678571428571445,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700.0,350.0,"[937.1428571428571, 1939.5]","[999, 1999]",1.0,60.678571428571445,00:00:06,6.0
ProDrift,Ceravolo,sudden_trace_noise10_1000_pm,50.0,2.0,,,,,,,,,,[],[499],,,00:00:06,6.0
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_5,600.0,2.0,,,,,,,,,,"[946, 1944]","[999, 1999]",1.0,54.0,00:58:11,3491.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800.0,80.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800.0,160.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800.0,320.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800.0,400.0,[],[499],,,00:00:00,0.0
Bose J,Ceravolo,sudden_trace_noise15_1000_cd,300.0,2.0,,,,,,,,,,[],[499],,,00:00:27,27.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_cd,300.0,2.0,,,,,,,,,,[],[499],,,00:00:23,23.0
Earth Mover's Distance,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,300.0,2.0,,,,,,,,,,"[950, 1948]","[999, 1999]",1.0,50.0,00:32:49,1969.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_cf,200.0,2.0,,,,,,,,,,[],[499],,,00:00:01,1.0
Bose J,Ceravolo,sudden_trace_noise15_1000_cb,100.0,2.0,,,,,,,,,,[452],[499],1.0,47.0,00:00:17,17.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_cb,100.0,2.0,,,,,,,,,,[],[499],,,00:00:22,22.0
ProDrift,Ceravolo,sudden_trace_noise5_1000_RIO,250.0,2.0,,,,,,,,,,[414],[499],1.0,85.0,00:00:11,11.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_sw,200.0,2.0,,,,,,,,,,[464],[499],1.0,35.0,00:00:02,2.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_IOR,200.0,2.0,,,,,,,,,,[448],[499],1.0,51.0,00:00:01,1.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400.0,40.0,[447.0],[499],1.0,52.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400.0,80.0,[447.0],[499],1.0,52.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400.0,120.0,[447.0],[499],1.0,52.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400.0,160.0,[447.0],[499],1.0,52.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400.0,200.0,[447.0],[499],1.0,52.0,00:00:00,0.0
