Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),pen_scale
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400,120,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400,160,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400,200,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700,70,"[937.1428571428571, 1939.5]","[999, 1999]",1,60.67857143,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700,140,"[937.1428571428571, 1939.5]","[999, 1999]",1,60.67857143,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700,210,"[937.1428571428571, 1939.5]","[999, 1999]",1,60.67857143,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700,280,"[937.1428571428571, 1939.5]","[999, 1999]",1,60.67857143,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700,350,"[937.1428571428571, 1939.5]","[999, 1999]",1,60.67857143,0:00:06,6,
ProDrift,Ceravolo,sudden_trace_noise10_1000_pm,50,2,,,,,,,,,,[],[499],,,0:00:06,6,
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_5,600,2,,,,,,,,,,"[946, 1944]","[999, 1999]",1,54,0:58:11,3491,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800,80,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800,160,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800,240,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800,320,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_re,,,,,,,,,,800,400,[],[499],,,0:00:00,0,
Bose J,Ceravolo,sudden_trace_noise15_1000_cd,300,2,,,,,,,,,,[],[499],,,0:00:27,27,
Bose WC,Ceravolo,sudden_trace_noise15_1000_cd,300,2,,,,,,,,,,[],[499],,,0:00:23,23,
Earth Mover's Distance,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,300,2,,,,,,,,,,"[950, 1948]","[999, 1999]",1,50,0:32:49,1969,
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_cf,200,2,,,,,,,,,,[],[499],,,0:00:01,1,
Bose J,Ceravolo,sudden_trace_noise15_1000_cb,100,2,,,,,,,,,,[452],[499],1,47,0:00:17,17,
Bose WC,Ceravolo,sudden_trace_noise15_1000_cb,100,2,,,,,,,,,,[],[499],,,0:00:22,22,
ProDrift,Ceravolo,sudden_trace_noise5_1000_RIO,250,2,,,,,,,,,,[414],[499],1,85,0:00:11,11,
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_sw,200,2,,,,,,,,,,[464],[499],1,35,0:00:02,2,
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_IOR,200,2,,,,,,,,,,[448],[499],1,51,0:00:01,1,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400,40,[447.0],[499],1,52,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400,80,[447.0],[499],1,52,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400,120,[447.0],[499],1,52,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400,160,[447.0],[499],1,52,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cf,,,,,,,,,,400,200,[447.0],[499],1,52,0:00:00,0,
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400,40,[1484.7336032388664],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400,80,[1484.7336032388664],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400,120,[1484.7336032388664],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400,160,[1484.7336032388664],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400,200,[1484.7336032388664],"[999, 1999]",,,0:00:05,5,
Bose J,Ceravolo,sudden_trace_noise5_1000_re,400,2,,,,,,,,,,[],[499],,,0:00:20,20,
Bose WC,Ceravolo,sudden_trace_noise5_1000_re,400,2,,,,,,,,,,[],[499],,,0:00:13,13,
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700,70,[1505.9709251101322],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700,140,[1505.9709251101322],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700,210,[1505.9709251101322],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700,280,[1505.9709251101322],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700,350,[1505.9709251101322],"[999, 1999]",,,0:00:07,7,
Bose J,Ostovar,Atomic_Loop_output_Loop_5,100,2,,,,,,,,,,"[944, 1954]","[999, 1999]",1,50,0:15:50,950,
