Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),pen_scale
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cb,,,100,500,,0.0001,,,,,,[648],[499],1,149,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_IRO,,,400,400,,0.05,,,,,,[600],[499],1,101,0:00:00,0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cb,,,400,600,50,0.4,,,,,,[449],[499],1,50,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cb,,,400,600,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cp,,,100,400,,0.005,,,,,,[],[499],,,0:00:13,13,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_re,,,200,400,,0.005,,,,,,[525],[499],1,26,0:00:04,4,
Martjushev ADWIN J,Ostovar,Atomic_Substitute_output_Substitute,,,300,500,50,0.4,,,,,,"[949, 1850]","[999, 1999]",1,99.5,0:07:36,456,
Martjushev ADWIN WC,Ostovar,Atomic_Substitute_output_Substitute,,,300,500,50,0.4,,,,,,[],"[999, 1999]",,,0:03:49,229,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cp,,,300,500,,0.1,,,,,,[477],[499],1,22,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cp,,,300,600,,0.005,,,,,,[540],[499],1,41,0:00:00,0,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,,,400,400,,0.005,,,,,,[1034],"[999, 1999]",0.666666667,35,0:01:52,112,
Martjushev ADWIN J,Ostovar,Nested_IRO_output_IRO,,,300,700,20,0.4,,,,,,"[941, 1880]","[999, 1999]",1,88.5,0:12:08,728,
Martjushev ADWIN WC,Ostovar,Nested_IRO_output_IRO,,,300,700,20,0.4,,,,,,[],"[999, 1999]",,,0:07:31,451,
Martjushev ADWIN J,Bose,bose_log,,,200,400,50,0.4,,,,,,"[1149, 2425, 3613, 4802]","[1199, 2399, 3599, 4799]",1,23.25,0:00:51,51,
Martjushev ADWIN WC,Bose,bose_log,,,200,400,50,0.4,,,,,,[],"[1199, 2399, 3599, 4799]",,,0:00:36,36,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cb,,,200,700,,0.05,,,,,,[529],[499],1,30,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_sw,,,300,400,,0.0001,,,,,,[],[499],,,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_sw,,,400,400,,0.1,,,,,,[],[499],,,0:00:06,6,
Martjushev ADWIN J,Ostovar,Nested_ORI_output_ORI_2,,,300,600,20,0.4,,,,,,"[944, 1860]","[999, 1999]",1,97,0:11:38,698,
Martjushev ADWIN WC,Ostovar,Nested_ORI_output_ORI_2,,,300,600,20,0.4,,,,,,[],"[999, 1999]",,,0:07:38,458,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cb,,,100,600,20,0.4,,,,,,[459],[499],1,40,0:00:11,11,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cb,,,100,600,20,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_2,,,400,700,,0.0001,,,,,,"[986, 1953]","[999, 1999]",1,29.5,0:02:21,141,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_ROI,,,100,600,10,0.4,,,,,,[349],[499],1,150,0:00:12,12,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_ROI,,,100,600,10,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN J,Ostovar,Composite_ROI_output_ROI_5,,,400,400,10,0.4,,,,,,"[719, 1830]","[999, 1999]",0.5,169,0:09:51,591,
Martjushev ADWIN WC,Ostovar,Composite_ROI_output_ROI_5,,,400,400,10,0.4,,,,,,[],"[999, 1999]",,,0:07:00,420,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_lp,,,100,700,50,0.4,,,,,,[399],[499],1,100,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_lp,,,100,700,50,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cf,,,300,500,,0.005,,,,,,[758],[499],,,0:00:08,8,
Process Graph Metrics,Ostovar,Composite_RIO_output_RIO_2,,,200,600,,0.05,,,,,,[1002],"[999, 1999]",0.666666667,3,0:00:23,23,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cb,,,200,400,,0.005,,,,,,[],[499],,,0:00:00,0,
Martjushev ADWIN J,Ostovar,Composite_OIR_output_OIR_5,,,300,600,50,0.4,,,,,,"[961, 1975]","[999, 1999]",1,31,0:08:36,516,
Martjushev ADWIN WC,Ostovar,Composite_OIR_output_OIR_5,,,300,600,50,0.4,,,,,,[],"[999, 1999]",,,0:05:06,306,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO,,,400,600,,0.05,,,,,,"[1034, 2097]","[999, 1999]",1,66.5,0:01:07,67,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency_2,,,300,500,,0.0001,,,,,,"[1018, 2068]","[999, 1999]",1,44,0:00:20,20,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_sw,,,100,600,20,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_sw,,,100,600,20,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR_2,,,300,400,,0.005,,,,,,[1020],"[999, 1999]",0.666666667,21,0:01:14,74,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_2,,,200,400,20,0.4,,,,,,"[909, 1960]","[999, 1999]",1,64.5,0:09:42,582,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO_2,,,200,400,20,0.4,,,,,,[],"[999, 1999]",,,0:05:23,323,
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,400,400,20,0.4,,,,,,[],"[999, 1999]",,,0:09:02,542,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,400,400,20,0.4,,,,,,[],"[999, 1999]",,,0:05:17,317,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO,,,100,400,,0.05,,,,,,[1045],"[999, 1999]",0.666666667,46,0:01:41,101,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,,,400,500,,0.05,,,,,,[1012],"[999, 1999]",0.666666667,13,0:00:40,40,
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI_2,,,100,500,,0.05,,,,,,"[996, 2141]","[999, 1999]",1,72.5,0:00:23,23,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_rp,,,200,500,10,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_rp,,,200,500,10,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_cb,,,400,400,20,0.4,,,,,,[],[499],,,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_cb,,,400,400,20,0.4,,,,,,[],[499],,,0:00:03,3,
Martjushev ADWIN J,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,400,400,20,0.4,,,,,,[],"[999, 1999]",,,0:11:03,663,
Martjushev ADWIN WC,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,400,400,20,0.4,,,,,,[],"[999, 1999]",,,0:06:23,383,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,,,300,600,,0.05,,,,,,"[982, 1994]","[999, 1999]",1,11,0:04:23,263,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cd,,,100,500,,0.005,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,,,100,600,,0.05,,,,,,"[987, 2072]","[999, 1999]",1,42.5,0:00:28,28,
Process Graph Metrics,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,300,700,,0.1,,,,,,[1171],"[999, 1999]",0.666666667,172,0:00:20,20,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_5,,,400,600,10,0.4,,,,,,"[961, 1957]","[999, 1999]",1,40,0:10:15,615,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO_5,,,400,600,10,0.4,,,,,,[],"[999, 1999]",,,0:07:22,442,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,,,100,400,10,0.4,,,,,,"[909, 1945]","[999, 1999]",1,72,0:10:57,657,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,,,100,400,10,0.4,,,,,,[],"[999, 1999]",,,0:07:18,438,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_5,,,400,500,20,0.4,,,,,,"[904, 1945]","[999, 1999]",1,74.5,0:09:28,568,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO_5,,,400,500,20,0.4,,,,,,[],"[999, 1999]",,,0:06:15,375,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR,,,200,600,,0.005,,,,,,[1050],"[999, 1999]",0.666666667,51,0:00:13,13,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,200,700,10,0.4,,,,,,"[1019, 1890]","[999, 1999]",1,64.5,0:09:39,579,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,200,700,10,0.4,,,,,,[],"[999, 1999]",,,0:07:21,441,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_OIR,,,400,700,,0.05,,,,,,[600],[499],1,101,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pm,,,100,500,,0.05,,,,,,[916],[499],,,0:00:16,16,
Martjushev ADWIN J,Ostovar,Atomic_Swap_output_Swap_5,,,400,700,50,0.4,,,,,,[],"[999, 1999]",,,0:07:18,438,
Martjushev ADWIN WC,Ostovar,Atomic_Swap_output_Swap_5,,,400,700,50,0.4,,,,,,[],"[999, 1999]",,,0:04:33,273,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,100,500,,0.1,,,,,,[1148],"[999, 1999]",0.666666667,149,0:00:17,17,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_5,,,200,700,,0.005,,,,,,"[1105, 2082]","[999, 1999]",1,94.5,0:02:06,126,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI_2,,,300,600,,0.005,,,,,,"[936, 1986]","[999, 1999]",1,38,0:00:37,37,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cf,,,100,400,,0.05,,,,,,[748],[499],,,0:00:16,16,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR_5,,,200,400,,0.05,,,,,,[1023],"[999, 1999]",0.666666667,24,0:02:05,125,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,200,400,50,0.4,,,,,,[],"[999, 1999]",,,0:08:23,503,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,200,400,50,0.4,,,,,,[],"[999, 1999]",,,0:04:39,279,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,300,600,,0.0001,,,,,,"[1052, 2055]","[999, 1999]",1,54.5,0:00:14,14,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,200,400,50,0.4,,,,,,[1999],"[999, 1999]",0.666666667,0,0:08:17,497,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,200,400,50,0.4,,,,,,[],"[999, 1999]",,,0:04:19,259,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR,,,200,700,50,0.4,,,,,,"[974, 1975]","[999, 1999]",1,24.5,0:11:05,665,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR,,,200,700,50,0.4,,,,,,[],"[999, 1999]",,,0:05:35,335,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pm,,,300,500,,0.0001,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,,,200,400,,0.0001,,,,,,[],[499],,,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_pm,,,300,400,10,0.4,,,,,,[],[499],,,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_pm,,,300,400,10,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cf,,,400,700,,0.005,,,,,,[769],[499],,,0:00:14,14,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,100,700,10,0.4,,,,,,[],"[999, 1999]",,,0:11:31,691,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,100,700,10,0.4,,,,,,[],"[999, 1999]",,,0:08:04,484,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,,,400,400,,0.05,,,,,,"[963, 1974, 3068]","[999, 1999]",0.8,30.5,0:01:23,83,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_pl,,,200,500,50,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_pl,,,200,500,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ostovar,Atomic_SerialMove_output_SerialMove_5,,,300,500,20,0.4,,,,,,[],"[999, 1999]",,,0:10:18,618,
Martjushev ADWIN WC,Ostovar,Atomic_SerialMove_output_SerialMove_5,,,300,500,20,0.4,,,,,,[],"[999, 1999]",,,0:05:42,342,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_sw,,,300,400,20,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_sw,,,300,400,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Atomic_ParallelMove_output_ParallelMove,,,100,700,,0.1,,,,,,[],"[999, 1999]",,,0:00:12,12,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_sw,,,400,700,,0.0001,,,,,,[],[499],,,0:00:00,0,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI_2,,,300,700,,0.1,,,,,,"[1012, 2142]","[999, 1999]",1,78,0:00:35,35,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_IRO,,,200,700,20,0.4,,,,,,"[399, 899]",[499],0.666666667,100,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_IRO,,,200,700,20,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cb,,,300,400,10,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cb,,,300,400,10,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_OIR,,,200,600,,0.05,,,,,,[484],[499],1,15,0:00:05,5,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR_2,,,400,500,,0.0001,,,,,,"[988, 1780]","[999, 1999]",0.5,11,0:00:50,50,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI_5,,,400,600,,0.005,,,,,,"[982, 2035]","[999, 1999]",1,26.5,0:01:17,77,
Process Graph Metrics,Ostovar,Nested_OIR_output_OIR,,,400,500,,0.005,,,,,,"[1148, 2032]","[999, 1999]",1,91,0:00:13,13,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cb,,,400,500,50,0.4,,,,,,[449],[499],1,50,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cb,,,400,500,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pm,,,100,600,,0.005,,,,,,[1260],[499],,,0:00:45,45,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,,,400,600,,0.005,,,,,,[1181],[499],,,0:01:12,72,
Martjushev ADWIN J,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,200,700,10,0.4,,,,,,[],"[999, 1999]",,,0:12:58,778,
Martjushev ADWIN WC,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,200,700,10,0.4,,,,,,[],"[999, 1999]",,,0:08:53,533,
Martjushev ADWIN J,Ostovar,Nested_ROI_output_ROI_5,,,300,600,20,0.4,,,,,,"[899, 1800]","[999, 1999]",1,149.5,0:08:06,486,
Martjushev ADWIN WC,Ostovar,Nested_ROI_output_ROI_5,,,300,600,20,0.4,,,,,,[],"[999, 1999]",,,0:05:24,324,
Process Graph Metrics,Ostovar,Atomic_Swap_output_Swap_5,,,200,400,,0.05,,,,,,[1115],"[999, 1999]",0.666666667,116,0:02:10,130,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_2,,,300,600,10,0.4,,,,,,"[919, 1945]","[999, 1999]",1,67,0:13:51,831,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_2,,,300,600,10,0.4,,,,,,[],"[999, 1999]",,,0:10:01,601,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove,,,100,700,,0.0001,,,,,,[],"[999, 1999]",,,0:00:18,18,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IRO,,,300,600,,0.005,,,,,,[540],[499],1,41,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_RIO,,,100,500,,0.0001,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cd,,,400,400,,0.05,,,,,,[],[499],,,0:00:00,0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cp,,,200,600,10,0.4,,,,,,[279],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cp,,,200,600,10,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency,,,400,700,,0.1,,,,,,"[1018, 2078]","[999, 1999]",1,49,0:00:43,43,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cf,,,300,500,10,0.4,,,,,,[329],[499],1,170,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cf,,,300,500,10,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_rp,,,300,500,20,0.4,,,,,,[],[499],,,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_rp,,,300,500,20,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN J,Ostovar,Composite_IOR_output_IOR_5,,,200,600,50,0.4,,,,,,"[999, 1800]","[999, 1999]",1,99.5,0:07:21,441,
Martjushev ADWIN WC,Ostovar,Composite_IOR_output_IOR_5,,,200,600,50,0.4,,,,,,[],"[999, 1999]",,,0:03:40,220,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_OIR,,,400,400,,0.005,,,,,,[600],[499],1,101,0:00:00,0,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,100,500,,0.005,,,,,,[1083],"[999, 1999]",0.666666667,84,0:00:30,30,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_pm,,,100,700,,0.05,,,,,,[916],[499],,,0:00:26,26,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_sw,,,400,600,,0.0001,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pm,,,100,400,,0.005,,,,,,[1060],[499],,,0:00:01,1,
Martjushev ADWIN J,Ostovar,Atomic_SerialMove_output_SerialMove_5,,,200,600,50,0.4,,,,,,[],"[999, 1999]",,,0:09:59,599,
Martjushev ADWIN WC,Ostovar,Atomic_SerialMove_output_SerialMove_5,,,200,600,50,0.4,,,,,,[],"[999, 1999]",,,0:05:49,349,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cp,,,100,700,50,0.4,,,,,,[449],[499],1,50,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cp,,,100,700,50,0.4,,,,,,[],[499],,,0:00:02,2,
Martjushev ADWIN J,Ostovar,Atomic_Substitute_output_Substitute_2,,,100,500,20,0.4,,,,,,"[829, 1930]","[999, 1999]",1,119.5,0:09:26,566,
Martjushev ADWIN WC,Ostovar,Atomic_Substitute_output_Substitute_2,,,100,500,20,0.4,,,,,,[],"[999, 1999]",,,0:05:52,352,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_re,,,400,400,,0.005,,,,,,[600],[499],1,101,0:00:00,0,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip,,,100,600,,0.05,,,,,,[1059],"[999, 1999]",0.666666667,60,0:00:17,17,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_ROI,,,100,500,20,0.4,,,,,,[359],[499],1,140,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_ROI,,,100,500,20,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cb,,,100,400,,0.0001,,,,,,[],[499],,,0:00:00,0,
Martjushev ADWIN J,Ostovar,Nested_RIO_output_RIO_5,,,100,500,50,0.4,,,,,,"[1024, 1875]","[999, 1999]",1,74.5,0:12:30,750,
Martjushev ADWIN WC,Ostovar,Nested_RIO_output_RIO_5,,,100,500,50,0.4,,,,,,[],"[999, 1999]",,,0:06:52,412,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,100,700,20,0.4,,,,,,"[1019, 1900]","[999, 1999]",1,59.5,0:08:44,524,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,100,700,20,0.4,,,,,,[],"[999, 1999]",,,0:05:19,319,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,,,300,500,,0.005,,,,,,"[1041, 2062]","[999, 1999]",1,52.5,0:00:38,38,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency_2,,,400,600,,0.05,,,,,,"[1019, 2079]","[999, 1999]",1,50,0:00:44,44,
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI_2,,,300,700,,0.1,,,,,,"[1023, 2156]","[999, 1999]",1,90.5,0:01:04,64,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cb,,,400,600,50,0.4,,,,,,[449],[499],1,50,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cb,,,400,600,50,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_OIR,,,100,500,,0.0001,,,,,,[543],[499],1,44,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_pm,,,200,400,,0.05,,,,,,[1060],[499],,,0:00:00,0,
Process Graph Metrics,Ostovar,Nested_OIR_output_OIR_5,,,300,600,,0.005,,,,,,"[1050, 2055]","[999, 1999]",1,53.5,0:00:23,23,
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,300,600,10,0.4,,,,,,[],"[999, 1999]",,,0:09:44,584,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,300,600,10,0.4,,,,,,[],"[999, 1999]",,,0:06:39,399,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop_5,,,400,400,,0.0001,,,,,,[1028],"[999, 1999]",0.666666667,29,0:02:07,127,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_pl,,,200,500,,0.05,,,,,,[],[499],,,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_pm,,,300,700,20,0.4,,,,,,[399],[499],1,100,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_pm,,,300,700,20,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ostovar,Nested_RIO_output_RIO,,,300,500,20,0.4,,,,,,"[934, 1955]","[999, 1999]",1,54.5,0:09:01,541,
Martjushev ADWIN WC,Ostovar,Nested_RIO_output_RIO,,,300,500,20,0.4,,,,,,[],"[999, 1999]",,,0:05:31,331,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO,,,200,600,50,0.4,,,,,,"[961, 1943]","[999, 1999]",1,47,0:07:27,447,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO,,,200,600,50,0.4,,,,,,[],"[999, 1999]",,,0:04:05,245,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_RIO,,,200,700,,0.1,,,,,,[624],[499],1,125,0:00:00,0,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_5,,,300,500,20,0.4,,,,,,"[869, 1930]","[999, 1999]",1,99.5,0:13:00,780,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_5,,,300,500,20,0.4,,,,,,[],"[999, 1999]",,,0:08:01,481,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_pl,,,300,600,10,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_pl,,,300,600,10,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_pl,,,100,600,50,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_pl,,,100,600,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_IOR,,,400,500,50,0.4,,,,,,[],[499],,,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_IOR,,,400,500,50,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_lp,,,200,600,,0.05,,,,,,[468],[499],1,31,0:00:02,2,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IOR,,,400,400,20,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_IOR,,,400,400,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Bose,bose_log,,,300,400,,0.1,,,,,,"[1320, 2943, 3669]","[1199, 2399, 3599, 4799]",0.571428571,95.5,0:00:33,33,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cp,,,100,700,,0.05,,,,,,[493],[499],1,6,0:00:24,24,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove_5,,,100,400,,0.0001,,,,,,[990],"[999, 1999]",0.666666667,9,0:00:34,34,
