Algorithm,Log Source,Log,Drift Types,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings
CVDriftSuggested,dataset_100cases_60min_ABD_noisy_5%.xes,dataset_100cases_60min_ABD_noisy_5%.xes,duration,"[35, 72]",[],0.211,00:00:00,{}
CVDriftSuggested,dataset_3000cases10min_ABD.xes,dataset_3000cases10min_ABD.xes,duration,"[1110, 2250]",[],12.708,00:00:12,{}
CVDriftSuggested,dataset_3000cases20min_ABD.xes,dataset_3000cases20min_ABD.xes,duration,"[1110, 2250]",[],13.467,00:00:13,{}
CVDriftSuggested,dataset_3000cases20min_ABD_noisy_10%.xes,dataset_3000cases20min_ABD_noisy_10%.xes,duration,"[125, 2225]",[],18.081,00:00:18,{}
CVDriftSuggested,dataset_3000cases20min_ABD_noisy_20%.xes,dataset_3000cases20min_ABD_noisy_20%.xes,duration,"[125, 2226]",[],24.521,00:00:24,{}
CVDriftSuggested,dataset_3000cases30min_ABD.xes,dataset_3000cases30min_ABD.xes,duration,"[1110, 2250]",[],12.511,00:00:12,{}
CVDriftSuggested,dataset_3000cases30min_ABD_noisy_10%.xes,dataset_3000cases30min_ABD_noisy_10%.xes,duration,"[126, 2220]",[],16.849,00:00:16,{}
CVDriftSuggested,dataset_3000cases30min_ABD_noisy_20%.xes,dataset_3000cases30min_ABD_noisy_20%.xes,duration,"[125, 2227]",[],25.151,00:00:25,{}
CVDriftSuggested,dataset_3000cases30min_ABD_noisy_5%.xes,dataset_3000cases30min_ABD_noisy_5%.xes,duration,"[125, 2220]",[],16.604,00:00:16,{}
CVDriftSuggested,dataset_3000cases40min_ABD.xes,dataset_3000cases40min_ABD.xes,duration,"[1110, 2250]",[],11.955,00:00:11,{}
CVDriftSuggested,dataset_3000cases40min_ABD_noisy_10%.xes,dataset_3000cases40min_ABD_noisy_10%.xes,duration,"[126, 2222]",[],17.033,00:00:17,{}
CVDriftSuggested,dataset_3000cases40min_ABD_noisy_20%.xes,dataset_3000cases40min_ABD_noisy_20%.xes,duration,"[126, 2224]",[],22.614,00:00:22,{}
CVDriftSuggested,dataset_3000cases40min_ABD_noisy_5%.xes,dataset_3000cases40min_ABD_noisy_5%.xes,duration,"[126, 2220]",[],14.714,00:00:14,{}
CVDriftSuggested,dataset_3000cases50min_ABD.xes,dataset_3000cases50min_ABD.xes,duration,"[1110, 2250]",[],12.872,00:00:12,{}
CVDriftSuggested,dataset_3000cases50min_ABD_noisy_10%.xes,dataset_3000cases50min_ABD_noisy_10%.xes,duration,"[125, 2223]",[],18.249,00:00:18,{}
CVDriftSuggested,dataset_3000cases50min_ABD_noisy_20%.xes,dataset_3000cases50min_ABD_noisy_20%.xes,duration,"[125, 2225]",[],24.475,00:00:24,{}
CVDriftSuggested,dataset_3000cases50min_ABD_noisy_5%.xes,dataset_3000cases50min_ABD_noisy_5%.xes,duration,"[125, 2226]",[],13.918,00:00:13,{}
CVDriftSuggested,dataset_3000cases60min_ABD.xes,dataset_3000cases60min_ABD.xes,duration,"[1110, 2250]",[],12.368,00:00:12,{}
CVDriftSuggested,dataset_3000cases60min_ABD_noisy_10%.xes,dataset_3000cases60min_ABD_noisy_10%.xes,duration,"[126, 2220]",[],17.516,00:00:17,{}
CVDriftSuggested,dataset_3000cases60min_ABD_noisy_20%.xes,dataset_3000cases60min_ABD_noisy_20%.xes,duration,"[126, 2223]",[],24.037,00:00:24,{}
CVDriftSuggested,dataset_3000cases60min_ABD_noisy_5%.xes,dataset_3000cases60min_ABD_noisy_5%.xes,duration,"[127, 2220]",[],15.2,00:00:15,{}
